date,tp,tn,op,cum_tp,cum_tn,cum_op
2016-11-21,0.23817631875353015,0.0,0.0,0.23817631875353015,0.0,0.0
2016-11-29,0.3350689472783806,0.0,0.0,0.5732452660319107,0.0,0.0
2016-12-01,0.42908995089945984,0.0,0.0,1.0023352169313706,0.0,0.0
2016-12-10,0.06693072327251656,0.0,0.0,1.069265940203887,0.0,0.0
2016-12-12,0.4270885112846008,5.836876320889542,0.0,1.496354451488488,5.836876320889542,0.0
2016-12-16,0.007250828354522624,0.023983509172651764,0.0,1.5036052798430106,5.860859830062194,0.0
2016-12-24,0.0,3.4853952189898147,0.0,1.5036052798430106,9.346255049052008,0.0
2017-01-02,0.0,4.5116411283547775,0.0,1.5036052798430106,13.857896177406786,0.0
2017-01-03,0.00019521460954484,0.04015843396350996,0.0,1.5038004944525554,13.898054611370297,0.0
2017-01-08,2.333190826678947,79.91178581375385,0.0,3.8369913211315025,93.80984042512415,0.0
2017-01-19,4.407635401762791,31.692997412675272,0.0,8.244626722894294,125.50283783779942,0.0
2017-01-21,0.099487787819267,4.489462272540075,0.0,8.344114510713561,129.9923001103395,0.0
2017-02-07,1.290486025175266,35.21183297263941,0.0,9.634600535888827,165.2041330829789,0.0
2017-02-10,0.011314215823130943,0.1939626198440591,0.0,9.645914751711958,165.39809570282296,0.0
2017-02-11,0.06701618688464858,6.483132542112018,0.0,9.712930938596607,171.881228244935,0.0
2017-02-17,0.04757179527091018,24.46549471075381,0.0,9.760502733867517,196.3467229556888,0.0
2017-02-18,0.06129856441420867,0.034054758007893655,0.0,9.821801298281725,196.3807777136967,0.0
2017-02-19,0.0,0.0,0.0,9.821801298281725,196.3807777136967,0.0
2017-02-21,0.05212211312682935,3.064780251857569,0.0,9.873923411408555,199.44555796555426,0.0
2017-02-22,0.42780384154094414,6.1369459537825986,0.0,10.3017272529495,205.58250391933686,0.0
2017-02-23,0.11828688801520769,17.532699431725025,0.0,10.420014140964707,223.1152033510619,0.0
2017-02-24,0.007637575294396626,1.0387102400379413,0.0,10.427651716259103,224.15391359109984,0.0
2017-02-27,0.01934646042735485,0.7320620074178141,0.0,10.446998176686458,224.88597559851766,0.0
2017-03-05,0.4911800632429065,8.888750844180526,0.0,10.938178239929364,233.77472644269818,0.0
2017-03-23,0.6255246275138163,5.4957870186035205,0.0,11.56370286744318,239.2705134613017,0.0
2017-03-27,1.3453287057999666,33.13570203262026,0.0,12.909031573243146,272.406215493922,0.0
2017-03-30,0.809817101469047,22.07543812128558,0.0,13.718848674712193,294.48165361520756,0.0
2017-04-08,1.4297433838998717,14.475077904751911,0.0,15.148592058612065,308.9567315199595,0.0
2017-04-19,2.819714389420776,25.079830913593586,0.0,17.96830644803284,334.03656243355306,0.0
2017-04-21,0.09035790912167832,2.5494747907987447,0.0,18.05866435715452,336.5860372243518,0.0
2017-04-25,0.3922449887941044,1.5322394311028988,0.0,18.450909345948624,338.1182766554547,0.0
2017-05-06,12.36453287433043,20.377557314077816,0.0,30.815442220279053,358.4958339695325,0.0
2017-05-17,1.317029734575041,4.3637254236508145,0.0,32.1324719548541,362.8595593931833,0.0
2017-05-21,3.210102004812431,5.050279652745091,0.0,35.34257395966653,367.9098390459284,0.0
2017-06-13,2.383361282737512,3.675220643915046,0.0,37.72593524240404,371.58505968984343,0.0
2017-06-20,2.248491326064879,1.3023550058024738,0.0,39.97442656846892,372.88741469564593,0.0
2017-07-17,0.46877646082410873,0.5726018115710143,0.0,40.44320302929303,373.46001650721695,0.0
2017-07-20,0.790452848450899,3.189478432744125,0.0,41.23365587774393,376.6494949399611,0.0
2017-07-23,0.0,0.0,0.0,41.23365587774393,376.6494949399611,0.0
2017-07-25,1.379123091844146,1.8958916767628275,0.0,42.61277896958807,378.5453866167239,0.0
2017-08-10,4.494010608952184,32.52598540268838,0.0,47.10678957854026,411.07137201941225,0.0
2017-09-15,1.9518849600871486,5.609478297276693,0.0,49.05867453862741,416.6808503166889,0.0
2017-09-22,6.51759339277826,16.77933618140787,0.0,55.57626793140567,433.4601864980968,0.0
2017-09-24,2.475106221440983,12.35021648948262,0.0,58.05137415284665,445.81040298757944,0.0
2017-11-05,9.48911405654904,46.16394605815401,0.0,67.54048820939569,491.97434904573345,0.0
2017-11-17,2.0520965654995127,6.275992825181156,0.0,69.5925847748952,498.2503418709146,0.0
2018-01-09,4.031572890450878,26.349891104455715,0.0,73.62415766534608,524.6002329753703,0.0
2018-02-15,12.774480563822442,25.509218259303058,0.0,86.39863822916851,550.1094512346734,0.0
2018-03-16,4.166310914820653,34.1928063544152,0.0,90.56494914398917,584.3022575890886,0.0
2018-03-20,0.6222386426778905,1.830113654934971,0.0,91.18718778666705,586.1323712440236,0.0
2018-03-23,0.9072536378907631,1.4603370406374,0.0,92.09444142455781,587.5927082846611,0.0
2018-04-07,1.3760709333138934,7.137228208680566,0.0,93.47051235787171,594.7299364933416,0.0
2018-04-20,10.230384938572115,38.76435301996494,0.0,103.70089729644383,633.4942895133065,0.0
2018-04-30,0.48512219762137865,1.7681360200907124,0.0,104.1860194940652,635.2624255333973,0.0
2018-05-03,3.5148224890091266,28.223870082747062,0.0,107.70084198307433,663.4862956161444,0.0
2018-05-11,0.06528873124413975,0.3457713145917432,0.0,107.76613071431846,663.8320669307361,0.0
2018-08-21,25.514126110904886,118.61471858847176,0.0,133.28025682522335,782.4467855192079,0.0
2018-08-22,4.457932279500177,8.840665540311727,0.0,137.73818910472352,791.2874510595196,0.0
2018-10-03,23.83222667381863,72.26441225938501,0.0,161.57041577854216,863.5518633189047,0.0
2018-10-10,5.339382153827766,53.97667941794515,0.0,166.9097979323699,917.5285427368499,0.0
2018-11-24,2.7610573172301094,9.603677625148219,0.0,169.6708552496,927.1322203619981,0.0
2018-11-30,1.7969271518478185,10.959983612196677,0.0,171.46778240144783,938.0922039741947,0.0
2019-01-18,4.69814275916358,11.435149691291723,0.3280980786708219,176.1659251606114,949.5273536654864,0.3280980786708219
2019-03-06,6.904590468202668,22.28527667777124,5.0457164701190305,183.07051562881406,971.8126303432576,5.373814548789852
2019-03-08,2.5161608289765685,8.676416651643335,0.9544058316807662,185.58667645779065,980.489046994901,6.3282203804706185
2019-03-13,1.2714759807655567,18.583110488112002,0.09780584467427372,186.8581524385562,999.0721574830129,6.426026225144892
2019-03-29,1.6576375506387262,14.17971221016278,1.3233966094614054,188.51578998919493,1013.2518696931756,7.749422834606298
2019-04-10,5.856696609033589,23.26733284547012,0.7643621746647675,194.3724865982285,1036.5192025386457,8.513785009271066
2019-04-21,0.8377407332469375,14.771269018624531,0.2337733436745334,195.21022733147544,1051.2904715572702,8.7475583529456
2019-05-07,7.529268909855162,27.3146330381828,4.636815700176516,202.73949624133058,1078.605104595453,13.384374053122116
2019-05-21,3.6592206773296665,17.332412542456616,1.2448739829312478,206.39871691866026,1095.9375171379097,14.629248036053363
2019-06-21,66.1960322587605,206.79711267834955,35.31143609483901,272.59474917742074,1302.7346298162593,49.94068413089237
2019-08-01,15.964164422938314,48.688450270798434,10.419403584448798,288.55891360035906,1351.4230800870578,60.360087715341166
2019-08-09,3.2575706233791917,13.612871488207503,2.2223852576681082,291.81648422373826,1365.0359515752652,62.582472973009274
2019-08-28,0.11288745768965668,0.3288460724003042,0.0,291.92937168142794,1365.3647976476655,62.582472973009274
2019-09-11,6.167337498232562,7.393700992404765,2.504708267093165,298.0967091796605,1372.7584986400702,65.08718124010244
2019-11-20,7.704412088526133,51.35782654942582,2.246441837868343,305.8011212681866,1424.1163251894961,67.33362307797078
2020-01-16,4.4583093366364075,39.02659390800516,1.1078189703586283,310.259430604823,1463.1429190975014,68.4414420483294
2020-01-23,0.5107500578734429,5.940593661509682,0.0966212487099523,310.7701806626965,1469.083512759011,68.53806329703936
2020-02-08,0.9481515364173652,14.385639158231209,0.05653377559629218,311.71833219911383,1483.4691519172422,68.59459707263565
2020-03-13,3.5306450043867987,5.064657495426249,1.0099441098372268,315.24897720350066,1488.5338094126685,69.60454118247287
2020-03-25,1.7042450223001548,6.5180508919882305,1.1605275032500848,316.9532222258008,1495.0518603046567,70.76506868572295
2020-05-23,7.450617277526673,33.52865262946537,2.787518113576416,324.40383950332745,1528.580512934122,73.55258679929936
2020-06-08,11.412969742177417,46.73846239374248,8.879464134782118,335.8168092455049,1575.3189753278646,82.43205093408147
2020-09-08,1.38492648268394,0.0,0.0,337.20173572818885,1575.3189753278646,82.43205093408147
2020-10-11,4.293109179712894,0.0,1.7001837207290158,341.4948449079017,1575.3189753278646,84.13223465481049
2020-10-13,0.13735480806673925,0.2430576075473937,0.09610405048827803,341.63219971596845,1575.562032935412,84.22833870529877
2020-10-25,0.0,0.0,0.0,341.63219971596845,1575.562032935412,84.22833870529877
2020-11-08,1.715441770493189,4.013723222356066,0.37014135576887897,343.34764148646167,1579.575756157768,84.59848006106765
2020-11-13,0.1706704958778315,2.7733955580147636,0.02133381198472894,343.5183119823395,1582.3491517157827,84.61981387305238
2020-12-17,1.3303581310497248,1.4799116122761342,0.5555997074792912,344.84867011338923,1583.8290633280587,85.17541358053167
2021-01-04,3.5077954111506413,10.954037331265797,0.9305353845613693,348.3564655245399,1594.7831006593246,86.10594896509303
2021-01-23,1.2602569823100018,1.5815684911780996,0.4599169665692459,349.6167225068499,1596.3646691505028,86.56586593166229
2021-02-12,2.3646714299697407,8.444676642140438,1.1991056742855677,351.98139393681964,1604.8093457926432,87.76497160594785
2021-02-18,0.956491809241918,6.392149478859987,0.8546265111400354,352.93788574606157,1611.201495271503,88.61959811708789
2021-03-13,0.37794699348311306,2.789616525490047,0.24963632924737525,353.3158327395447,1613.9911117969932,88.86923444633527
2021-03-20,0.9491743156897547,2.0788237795349276,0.6171282537064603,354.26500705523443,1616.0699355765282,89.48636270004172
2021-03-26,1.4967718248319477,13.857437303596047,0.7323099422027635,355.7617788800664,1629.9273728801243,90.21867264224448
2021-04-06,0.8678793330011767,1.4723710199138287,0.1683130823950781,356.62965821306756,1631.3997439000382,90.38698572463956
2021-04-15,7.221697070027903,18.738301351980606,3.5293623964339154,363.8513552830955,1650.1380452520189,93.91634812107347
2021-04-26,2.8913602163178305,5.349361072672455,1.2964543619582714,366.7427154994133,1655.4874063246914,95.21280248303174
2021-05-10,12.542967373136722,2.16720975934191,5.63993148352895,379.28568287255,1657.6546160840333,100.85273396656069
2021-05-23,0.18906443902549339,0.7937733381222769,0.14881438795641813,379.4747473115755,1658.4483894221555,101.00154835451711
2021-06-24,11.731846903349412,8.745292286137138,5.684054949790665,391.20659421492496,1667.1936817082926,106.68560330430778
2021-07-18,3.1714531174253335,19.5778889555625,1.2682933462208916,394.3780473323503,1686.771570663855,107.95389665052866
2021-07-22,2.245271530875708,6.002244848682667,1.2160287441907518,396.623318863226,1692.7738155125378,109.16992539471941
2021-07-30,3.24610455396489,5.7094622421351495,1.8951992623242315,399.8694234171909,1698.483277754673,111.06512465704364
2021-08-01,12.472655135790397,34.47662940996381,7.488884579222351,412.34207855298126,1732.959907164637,118.55400923626598
2021-08-17,3.7719509282218917,12.874330395311864,2.4688623191133323,416.11402948120315,1745.8342375599489,121.02287155537931
2021-09-11,28.361579292679174,106.79365449022096,16.698072390962476,444.4756087738823,1852.6278920501697,137.72094394634178
2021-09-28,4.586262185908568,7.650976439725805,2.453802146921203,449.0618709597909,1860.2788684898956,140.17474609326297
2021-10-08,2.779199602804511,11.784083974576435,1.2896980426828544,451.8410705625954,1872.062952464472,141.46444413594583
2021-10-19,4.067828608301833,34.25465848666628,2.8499876017401773,455.90889917089726,1906.3176109511382,144.314431737686
2021-10-26,2.9117944988542264,14.467619895236721,1.9379453662640231,458.8206936697515,1920.785230846375,146.25237710395
2021-11-02,2.374283244877234,11.534040047423888,1.4073542245003254,461.19497691462874,1932.3192708937988,147.65973132845033
2021-11-09,0.11782321295126948,1.1185184616569661,0.05559092023087446,461.31280012758003,1933.4377893554558,147.71532224868122
2021-12-10,2.0455094626434613,17.874678815443342,1.0459763405229872,463.3583095902235,1951.3124681708991,148.76129858920422
2021-12-15,1.145553973107168,3.12668682623564,0.27868442839243845,464.50386356333064,1954.4391549971347,149.03998301759665
2021-12-30,1.8163086574365177,10.86665860087604,0.153342892667049,466.3201722207672,1965.3058135980107,149.1933259102637
2022-01-05,0.4291285579587676,3.093428304732735,0.09296525844266611,466.74930077872597,1968.3992419027434,149.28629116870636
2022-02-21,2.203912053395559,5.370516662229398,1.2328406213743404,468.95321283212155,1973.7697585649728,150.5191317900807
2022-03-05,2.8590155664281225,6.045408019893086,0.32092734888629587,471.8122283985497,1979.815166584866,150.840059138967
2022-03-15,2.8486058499287585,12.443615051580013,0.5922019020800569,474.6608342484784,1992.258781636446,151.43226104104707
2022-03-29,1.1604644812759395,8.487084975439542,0.2744312994344451,475.82129872975435,2000.7458666118855,151.7066923404815
2022-04-15,3.679933568904283,8.343136923974043,1.0022125016965693,479.50123229865864,2009.0890035358595,152.70890484217807
2022-04-22,1.1044729652191856,1.6330564237021816,0.2076666047980849,480.60570526387784,2010.7220599595616,152.91657144697615
2022-05-03,0.7980567067690308,2.185945460384987,0.4568600384224902,481.4037619706469,2012.9080054199467,153.37343148539864
2022-05-10,3.0998787232926617,11.07364629973372,1.6163091461084362,484.50364069393953,2023.9816517196805,154.9897406315071
2022-05-29,4.536332680355452,7.978198405453331,2.238026772924664,489.03997337429496,2031.959850125134,157.22776740443175
2022-06-05,5.648502783569975,16.759440470134518,2.8989426268600065,494.68847615786495,2048.7192905952684,160.12671003129176
2022-06-13,0.25057135931150515,0.7498613444783844,0.142400617866324,494.93904751717645,2049.4691519397466,160.26911064915808
2022-06-29,7.346173129188691,22.988100989967126,4.4020948091988945,502.28522064636513,2072.457252929714,164.67120545835698
2022-07-15,10.745931363794915,16.602400882544046,6.559384518672275,513.0311520101601,2089.0596538122577,171.23058997702924
2022-08-01,2.3241063335765664,6.883848584758414,6.367406367816284,515.3552583437366,2095.943502397016,177.5979963448455
2022-08-13,6.663137193495383,40.395690755222354,9.686858904158118,522.018395537232,2136.3391931522383,187.28485524900364
2022-08-20,8.300071556800921,13.242871058865695,5.252113664722699,530.3184670940329,2149.582064211104,192.53696891372633
2022-08-25,2.3096189891551018,2.108203226003317,6.908904114193815,532.628086083188,2151.690267437107,199.44587302792013
2022-09-15,17.22636394882101,15.89873992364959,9.863750808409913,549.854450032009,2167.5890073607566,209.30962383633005
2022-09-17,3.2671399707285027,11.941186501474556,1.9868760443877853,553.1215900027375,2179.530193862231,211.29649988071785
2022-09-23,1.4096542422294853,3.9435111072941265,0.5711020795184155,554.5312442449671,2183.473704969525,211.86760196023627
2022-10-22,0.18275440804052168,0.3553403732952419,0.10254404986678066,554.7139986530076,2183.8290453428203,211.97014601010306
2022-10-31,2.071912082871645,6.016890748388057,0.6143159874357726,556.7859107358793,2189.8459360912084,212.58446199753882
2022-11-07,4.014910513289852,29.051712245691302,1.7577254027355218,560.8008212491691,2218.8976483368997,214.34218740027436
2022-12-07,5.050422886505026,29.48867102911961,1.7586559742177668,565.851244135674,2248.3863193660195,216.10084337449211
